material_id,formula,elements,num_elements,space_group,dimensionality,c_length,c_a_ratio,2d_score,synthesis_score,formation_energy,hull_energy,cif_file,overall_score
generated_0037,NbSe2,"['Nb', 'Se']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.112,0.001,generated_materials\cif_files\generated_0037.cif,0.9471
generated_0055,Te2Mo,"['Te', 'Mo']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.022,0.05,generated_materials\cif_files\generated_0055.cif,0.9406
generated_0091,VS2,"['V', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.125,0.03,generated_materials\cif_files\generated_0091.cif,0.93
generated_0033,MoS2,"['Mo', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.156,0.027,generated_materials\cif_files\generated_0033.cif,0.9253
generated_0010,WSe2,"['W', 'Se']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.29,0.014,generated_materials\cif_files\generated_0010.cif,0.905
generated_0075,VS2,"['V', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.249,0.076,generated_materials\cif_files\generated_0075.cif,0.8822
generated_0047,Te2Mo,"['Te', 'Mo']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.438,0.032,generated_materials\cif_files\generated_0047.cif,0.8664000000000001
generated_0079,Te2Mo,"['Te', 'Mo']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.406,0.09,generated_materials\cif_files\generated_0079.cif,0.8438000000000001
generated_0007,Te2Mo,"['Te', 'Mo']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.551,0.035,generated_materials\cif_files\generated_0007.cif,0.8422999999999999
generated_0077,NbSe2,"['Nb', 'Se']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.482,0.094,generated_materials\cif_files\generated_0077.cif,0.8266000000000001
generated_0064,WS2,"['W', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.69,0.017,generated_materials\cif_files\generated_0064.cif,0.8235000000000001
generated_0028,TiC2,"['Ti', 'C']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.899,0.026,generated_materials\cif_files\generated_0028.cif,0.7772
generated_0050,WSe2,"['W', 'Se']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.779,0.003,generated_materials\cif_files\generated_0050.cif,0.7685
generated_0080,WS2,"['W', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.453,0.014,generated_materials\cif_files\generated_0080.cif,0.763
generated_0083,VS2,"['V', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.894,0.063,generated_materials\cif_files\generated_0083.cif,0.7597
generated_0031,Te2Mo,"['Te', 'Mo']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.531,0.023,generated_materials\cif_files\generated_0031.cif,0.7585
generated_0016,WS2,"['W', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.966,0.04,generated_materials\cif_files\generated_0016.cif,0.7568
generated_0014,TaS2,"['Ta', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.723,0.037,generated_materials\cif_files\generated_0014.cif,0.7515000000000001
generated_0088,WS2,"['W', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.196,0.039,generated_materials\cif_files\generated_0088.cif,0.7505000000000001
generated_0049,MoS2,"['Mo', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.277,0.04,generated_materials\cif_files\generated_0049.cif,0.75
generated_0061,NbSe2,"['Nb', 'Se']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.935,0.042,generated_materials\cif_files\generated_0061.cif,0.749
generated_0024,WS2,"['W', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.912,0.08,generated_materials\cif_files\generated_0024.cif,0.7475999999999999
generated_0035,VS2,"['V', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.011,0.045,generated_materials\cif_files\generated_0035.cif,0.7475
generated_0032,WS2,"['W', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-0.952,0.069,generated_materials\cif_files\generated_0032.cif,0.7451000000000001
generated_0051,VS2,"['V', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.07,0.052,generated_materials\cif_files\generated_0051.cif,0.744
generated_0008,WS2,"['W', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.085,0.054,generated_materials\cif_files\generated_0008.cif,0.743
generated_0013,NbSe2,"['Nb', 'Se']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.236,0.059,generated_materials\cif_files\generated_0013.cif,0.7405
generated_0066,WSe2,"['W', 'Se']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.887,0.063,generated_materials\cif_files\generated_0066.cif,0.7385
generated_0062,TaS2,"['Ta', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.533,0.065,generated_materials\cif_files\generated_0062.cif,0.7375
generated_0004,TiC2,"['Ti', 'C']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.297,0.069,generated_materials\cif_files\generated_0004.cif,0.7355
generated_0089,MoS2,"['Mo', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.688,0.074,generated_materials\cif_files\generated_0089.cif,0.733
generated_0003,VS2,"['V', 'S']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.393,0.081,generated_materials\cif_files\generated_0003.cif,0.7295
generated_0076,TiC2,"['Ti', 'C']",2,194,2,12.295,3.8908227848101262,0.9,1.0,-1.875,0.087,generated_materials\cif_files\generated_0076.cif,0.7265
